ID_obs,StartDate_w1,Sex_parent_w1,Age_Parent_w1,Q6_corrected_w1,Q508a_w1,Q8_corr_woAlD_w1,Q15_1_w1,Q15_2_w1,Q15_3_w1,Q18a_1_w1,Q18a_2_w1,Q18a_3_w1,Q18a_4_w1,Q18a_6_w1,Q18b_8_w1,Q18b_9_w1,Q19_1_w1,Q19_2_w1,Q19_3_w1,Q19_4_w1,Q23_1_w1,Q23_2_w1,Q23_3_w1,Q27a_w1,Q27b_w1,StartDate_w2,Q15_1_w2,Q15_2_w2,Q15_3_w2,Q18a_1_w2,Q18a_2_w2,Q18a_3_w2,Q18a_4_w2,Q18a_6_w2,Q18b_8_w2,Q18b_9_w2,Q19_1_w2,Q19_2_w2,Q19_3_w2,Q19_4_w2,Q23_1_w2,Q23_2_w2,Q23_3_w2,Q27a_w2,Q27b_w2,Q502_w2,male_parent,ba_higher_education,age_parent_imp,region_ad,uae_national,jobloss_covid_ind,duration_days,duration_weeks
1215,18 Oct 20,female,44,,Egypt,Al Ain,52,63,45,3,3,2,2,2,3,2,Disagree,Agree,Agree,Disagree,Often,Often,Rarely,No,No,25 Feb 21,50,27,27,Good,Good,Good,Excellent,5,3,4,Disagree,Disagree,Disagree,Agree,Rarely,Never,Never,No,No,No,No,No,44,No,No,No,130,18.571428
1061,11 Sep 20,prefer not to answer,44,3.High School,Yemen,Al Ain,0,0,0,5,5,5,5,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,31 Mar 21,,,,,,,,,,,,,,,,,,,,,No,No,44,No,No,No,201,28.714285
1364,15 Sep 20,female,38,,Pakistan,Al Ain,0,26,0,2,2,3,2,1,1,3,Strongly agree,Agree,Agree,Strongly agree,Sometimes,Rarely,Often,No,No,22 Feb 21,0,0,0,Fair,Good,Good,Good,2,2,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Rarely,Sometimes,No,No,No,No,No,38,No,No,No,160,22.857143
942,24 Sep 20,male,34,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,35,0,35,4,3,4,4,2,4,3,Agree,Disagree,Strongly disagree,Disagree,Sometimes,Sometimes,Sometimes,No,No,01 Apr 21,,,67,Good,Fair,Good,Good,2,3,2,Agree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Rarely,No,No,Yes,Yes,Yes,34,Yes,Yes,No,189,27
945,06 Oct 20,female,34,,Yemen,Abu Dhabi,50,50,50,3,2,3,3,3,3,3,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,13 Mar 21,65,60,67,Fair,Good,Good,Very good,3,2,3,Agree,Disagree,Disagree,Strongly agree,Never,Never,Rarely,No,No,Yes,No,No,34,Yes,No,No,158,22.571428
127,21 Sep 20,male,30,3.High School,United Arab Emirates,Abu Dhabi,95,30,0,1,3,1,3,1,1,2,Agree,Strongly agree,Strongly agree,Strongly agree,Often,All the time,Often,No,No,21 Feb 21,50,50,0,Good,Good,Poor,Good,3,2,2,Agree,Agree,Strongly agree,Disagree,,,,,,,Yes,No,30,Yes,Yes,No,153,21.857143
610,18 Oct 20,female,34,,United Arab Emirates,Abu Dhabi,49,64,43,4,3,4,4,2,3,3,Agree,Agree,Agree,Agree,Rarely,Sometimes,Rarely,No,No,07 Mar 21,37,80,36,Very good,Very good,Very good,Good,2,4,4,Agree,Agree,Agree,Agree,Sometimes,Rarely,Rarely,Yes,Yes,Yes,No,No,34,Yes,Yes,No,140,20
768,12 Oct 20,male,29,,India,Abu Dhabi,5,90,5,5,3,5,5,5,5,5,Disagree,Disagree,Agree,Disagree,Never,Rarely,Never,No,Yes,05 Mar 21,0,50,0,Excellent,Very good,Excellent,Excellent,4,5,5,Agree,Strongly disagree,Strongly agree,Disagree,Never,Never,Never,Yes,Yes,Yes,Yes,No,29,Yes,No,No,144,20.571428
70,22 Sep 20,male,45,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,0,0,0,5,5,5,5,4,4,4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,21 Feb 21,10,100,10,Excellent,Very good,Very good,Excellent,4,4,5,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Never,Never,Never,No,No,Yes,Yes,Yes,45,Yes,Yes,No,152,21.714285
1134,24 Sep 20,male,34,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,61,28,69,4,4,4,4,3,3,2,Disagree,Disagree,Disagree,Disagree,Rarely,Never,Never,No,No,21 Feb 21,,,,,,,,,,,,,,,,,,,,,Yes,Yes,34,Yes,Yes,No,150,21.428572
180,10 Sep 20,female,39,7.Masters Degree,Saint Kitts and Nevis,Al Ain,0,50,0,4,5,5,3,3,2,3,Strongly disagree,Disagree,Strongly disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,18 Feb 21,30,40,40,Excellent,Very good,Very good,Excellent,3,4,5,Strongly disagree,Disagree,Disagree,Agree,Rarely,Sometimes,Never,No,No,Yes,No,Yes,39,No,No,No,161,23
571,27 Sep 20,male,33,3.High School,Yemen,Abu Dhabi,70,0,28,5,2,3,5,4,1,3,Disagree,Agree,Strongly agree,Agree,Never,Never,Never,No,No,28 Feb 21,50,50,50,Very good,Fair,Very good,Excellent,4,2,3,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,Yes,Yes,No,33,Yes,No,No,154,22
554,23 Sep 20,male,59,7.Masters Degree,United Arab Emirates,Al Ain,50,30,50,4,4,2,5,1,3,3,Strongly disagree,Strongly disagree,Agree,Disagree,Sometimes,Often,Rarely,No,No,22 Feb 21,30,20,50,Good,Very good,Fair,Very good,1,2,3,Strongly disagree,Disagree,Agree,Strongly disagree,Sometimes,Sometimes,Rarely,No,No,Yes,Yes,Yes,59,No,Yes,No,152,21.714285
669,28 Sep 20,female,42,3.High School,United Arab Emirates,Abu Dhabi,20,70,20,3,2,2,4,3,2,2,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Often,No,No,28 Feb 21,50,71,50,Fair,Fair,Fair,Very good,3,3,2,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Rarely,Sometimes,No,No,No,No,No,42,Yes,Yes,No,153,21.857143
1245,01 Oct 20,male,36,,Sudan,Al Ain,50,87,80,4,2,3,3,2,2,3,Agree,Strongly agree,Agree,Strongly agree,All the time,Often,All the time,Yes,No,23 Feb 21,50,50,50,Very good,Good,Good,Excellent,3,3,4,Strongly agree,Strongly agree,Strongly agree,Agree,All the time,Often,All the time,Yes,No,Yes,Yes,No,36,No,No,Yes,145,20.714285
854,27 Sep 20,female,35,,Jordan,Al Ain,,57,18,3,3,3,3,2,2,3,,,,,,,,No,No,27 Mar 21,0,100,3,Good,Good,Very good,Excellent,5,3,4,Disagree,Strongly disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,No,No,No,No,No,35,No,No,No,181,25.857143
1524,29 Sep 20,female,37,,Sudan,Al Ain,33,46,43,4,4,4,3,3,4,4,Agree,Agree,,Agree,Rarely,Rarely,Rarely,No,No,05 Mar 21,0,,0,Excellent,Very good,,,,,,,,,,,,,No,No,No,No,No,37,No,No,No,157,22.428572
308,11 Sep 20,male,38,3.High School,Jordan,Al Ain,50,50,50,4,3,4,4,2,3,4,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Never,Rarely,Never,No,No,21 Feb 21,50,50,,Excellent,Good,Excellent,Excellent,5,5,5,Agree,Disagree,Disagree,Disagree,Never,Never,Never,No,No,Yes,Yes,No,38,No,No,No,163,23.285715
684,08 Oct 20,male,43,9.other,Sudan,Al Ain,70,70,70,4,2,4,4,1,2,1,Strongly agree,Agree,Agree,Strongly agree,Sometimes,Often,Sometimes,No,Yes,22 Feb 21,35,37,38,Very good,Fair,Good,Very good,2,2,1,Strongly agree,Disagree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,Yes,No,43,No,No,No,137,19.571428
434,15 Oct 20,male,40,,Egypt,Al Ain,59,39,60,3,2,3,4,2,3,3,Disagree,Strongly agree,Agree,Strongly agree,Sometimes,Often,Rarely,No,No,04 Apr 21,25,19,22,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,Yes,No,Yes,No,40,No,No,No,171,24.428572
1303,21 Sep 20,female,32,7.Masters Degree,United Arab Emirates,Al Ain,60,10,75,4,4,4,2,2,2,3,Disagree,Agree,Strongly agree,Agree,Often,All the time,Sometimes,No,No,21 Feb 21,50,10,60,Excellent,Excellent,Excellent,Excellent,4,3,3,Agree,Disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,No,No,Yes,No,Yes,32,No,Yes,No,153,21.857143
465,27 Oct 20,female,36,,United Arab Emirates,Abu Dhabi,39,28,56,4,2,2,3,3,3,3,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Never,No,Yes,25 Mar 21,8,67,16,Excellent,Very good,Excellent,Excellent,5,4,4,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Never,Never,Never,No,No,Yes,No,No,36,Yes,Yes,No,149,21.285715
741,28 Sep 20,female,31,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,50,15,50,5,5,4,5,4,1,4,Strongly agree,Strongly agree,Agree,Agree,Never,Never,Never,No,No,01 Mar 21,50,14,50,Excellent,Excellent,Excellent,Excellent,3,5,5,Agree,Strongly agree,Agree,Strongly agree,Never,Never,Never,No,No,No,No,Yes,31,Yes,Yes,No,154,22
1622,24 Oct 20,female,33,9.other,Jordan,Al Ain,50,56,50,4,3,4,4,3,3,3,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,No,No,30 Mar 21,60,28,62,Excellent,Very good,Fair,Very good,4,3,4,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Yes,Yes,No,No,No,33,No,No,No,157,22.428572
492,02 Oct 20,male,37,8.Doctorate‎/PhD,Syrian Arab Republic,Al Ain,0,52,0,4,2,3,4,4,3,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Often,Never,No,No,24 Mar 21,0,60,0,Excellent,Very good,Excellent,Excellent,5,4,3,Agree,Strongly agree,Strongly agree,Agree,Never,Never,Never,No,Yes,Yes,Yes,Yes,37,No,No,No,173,24.714285
1611,24 Sep 20,female,27,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,90,61,80,3,3,2,2,1,1,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Often,Sometimes,No,No,31 Mar 21,85,21,80,Very good,Good,Good,Very good,2,2,2,Strongly agree,Strongly agree,Agree,Strongly agree,Often,All the time,Sometimes,No,No,Yes,No,Yes,27,Yes,Yes,No,188,26.857143
1618,27 Sep 20,male,47,7.Masters Degree,Egypt,Al Ain,35,20,35,4,3,3,3,2,2,3,Disagree,Disagree,Agree,Agree,Rarely,Sometimes,Rarely,No,No,28 Feb 21,10,70,20,Fair,Good,Fair,Very good,2,2,3,Agree,Strongly agree,Disagree,Agree,Sometimes,Rarely,Sometimes,No,No,Yes,Yes,Yes,47,No,No,No,154,22
1341,09 Oct 20,male,36,3.High School,United Arab Emirates,Abu Dhabi,18,14,8,4,4,4,5,2,4,3,Disagree,Disagree,Disagree,Disagree,Sometimes,Often,Rarely,No,No,16 Mar 21,17,30,17,Very good,Good,Fair,Very good,1,3,3,Agree,Strongly disagree,Strongly disagree,Disagree,Often,Often,Often,No,No,Yes,Yes,No,36,Yes,Yes,No,158,22.571428
1157,19 Oct 20,male,46,3.High School,United Arab Emirates,Abu Dhabi,30,50,0,2,2,3,3,3,3,3,Disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Rarely,No,No,21 Mar 21,,,,,,,,,,,,,,,,,,,,,Yes,No,46,Yes,Yes,No,153,21.857143
470,18 Oct 20,male,40,,Oman,Al Ain,27,35,22,3,3,5,5,3,3,5,Agree,Agree,Agree,Disagree,Often,All the time,Never,No,No,08 Mar 21,30,15,89,Excellent,Excellent,Excellent,Excellent,4,5,5,Agree,Agree,Strongly agree,Agree,Often,Never,Often,No,No,No,Yes,No,40,No,No,No,141,20.142857
1332,24 Sep 20,male,41,6.Bachelors Degree,United Arab Emirates,Al Ain,50,1,50,3,4,3,5,1,3,3,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Never,No,No,21 Feb 21,30,90,34,Very good,Excellent,Fair,Excellent,1,2,2,Disagree,Strongly disagree,Agree,Agree,Sometimes,Rarely,Never,No,No,Yes,Yes,Yes,41,No,Yes,No,150,21.428572
286,23 Sep 20,male,29,6.Bachelors Degree,Pakistan,Abu Dhabi,71,8,70,5,1,5,1,1,5,5,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,All the time,All the time,No,No,24 Feb 21,49,50,50,Excellent,Excellent,Excellent,Good,2,5,5,Disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,Often,Rarely,No,No,Yes,Yes,Yes,29,Yes,No,No,154,22
112,24 Sep 20,female,43,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,50,100,50,5,4,4,5,1,2,3,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,21 Feb 21,0,0,30,Excellent,Excellent,Excellent,Excellent,5,3,3,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Never,No,No,Yes,No,Yes,43,Yes,Yes,No,150,21.428572
1121,15 Oct 20,female,29,,Pakistan,Abu Dhabi,0,0,0,3,4,3,4,3,3,4,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Never,No,No,21 Feb 21,10,10,10,Good,Good,Good,Good,3,3,3,Disagree,Strongly disagree,Strongly disagree,Disagree,Never,Never,Never,No,No,No,No,No,29,Yes,No,No,129,18.428572
1445,14 Sep 20,female,37,6.Bachelors Degree,New Zealand,Abu Dhabi,49,30,49,1,2,3,3,1,2,3,Agree,Disagree,Disagree,Agree,Often,Often,Often,No,No,14 Feb 21,,,,,,,,,,,,,,,,,,,,,No,Yes,37,Yes,No,No,153,21.857143
1244,19 Oct 20,male,43,3.High School,United Arab Emirates,Al Ain,30,100,0,2,1,2,2,1,1,1,Strongly agree,Agree,Strongly agree,Agree,All the time,All the time,All the time,No,No,31 Mar 21,30,100,0,Fair,Fair,Poor,Poor,1,2,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,All the time,All the time,All the time,No,No,No,Yes,No,43,No,Yes,No,163,23.285715
1580,13 Sep 20,male,33,7.Masters Degree,United Arab Emirates,Abu Dhabi,50,50,75,3,3,5,2,1,1,2,Strongly agree,Strongly agree,Agree,Strongly agree,Sometimes,Sometimes,Sometimes,No,No,14 Feb 21,100,70,100,Good,Fair,Fair,Fair,1,2,2,Agree,Strongly disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,Yes,Yes,Yes,33,Yes,Yes,No,154,22
1052,13 Oct 20,female,31,9.other,United Arab Emirates,Al Ain,31,14,30,4,5,4,4,2,2,2,Agree,Agree,Agree,Agree,Never,Sometimes,Sometimes,No,Yes,24 Feb 21,30,14,32,Good,Good,Very good,Excellent,2,3,3,Agree,Agree,Agree,Agree,Never,Never,Never,No,No,Yes,No,No,31,No,Yes,No,134,19.142857
548,06 Oct 20,male,30,,Syrian Arab Republic,Al Ain,7,24,0,3,1,3,4,2,1,1,Agree,Agree,Agree,Strongly disagree,Sometimes,Often,Rarely,Yes,No,19 Feb 21,0,46,0,Very good,Very good,Excellent,Excellent,2,2,3,Disagree,Agree,Disagree,Disagree,Never,Sometimes,Never,No,No,Yes,Yes,No,30,No,No,Yes,136,19.428572
240,05 Oct 20,female,29,9.other,Jordan,Al Ain,81,82,62,4,1,3,5,4,4,1,Agree,Strongly agree,Strongly agree,Agree,Sometimes,Often,Sometimes,No,Yes,23 Feb 21,100,71,40,Good,Good,Good,Good,3,3,4,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,Yes,No,No,29,No,No,No,141,20.142857
1342,18 Oct 20,female,32,,Germany,Al Ain,64,62,64,3,3,2,5,2,3,2,Disagree,Agree,Agree,Strongly disagree,Never,Sometimes,Sometimes,Yes,Yes,16 Feb 21,82,66,72,Fair,Fair,Fair,Fair,2,2,2,Strongly disagree,Strongly disagree,Agree,Disagree,Sometimes,Sometimes,Rarely,No,No,No,No,No,32,No,No,Yes,121,17.285715
804,17 Sep 20,female,38,3.High School,United Arab Emirates,Al Ain,10,50,10,3,4,3,4,2,3,3,Disagree,Agree,Disagree,Agree,Sometimes,Often,Often,No,No,21 Feb 21,30,50,50,Good,Good,Fair,Very good,2,3,2,Disagree,Disagree,Disagree,Disagree,Rarely,Never,Rarely,No,No,No,No,No,38,No,Yes,No,157,22.428572
1112,18 Oct 20,female,33,2.Elementary School,United Arab Emirates,Abu Dhabi,44,51,14,4,5,5,5,5,5,4,Disagree,Agree,Agree,Disagree,Rarely,Rarely,Rarely,No,No,29 Mar 21,41,6,100,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,No,No,No,33,Yes,Yes,No,162,23.142857
1211,24 Sep 20,female,41,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,69,2,84,4,4,4,4,2,3,4,Strongly agree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,No,No,21 Feb 21,67,20,70,Very good,Good,Very good,Very good,3,4,3,Disagree,Disagree,Disagree,Disagree,Sometimes,Rarely,Never,No,No,Yes,No,Yes,41,Yes,Yes,No,150,21.428572
1194,22 Sep 20,female,41,7.Masters Degree,United Arab Emirates,Al Ain,20,50,50,3,2,3,2,1,2,3,Strongly agree,Disagree,Disagree,Strongly agree,All the time,Often,Often,No,No,24 Feb 21,56,67,82,Good,Good,Good,Good,2,5,5,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,No,No,No,No,Yes,41,No,Yes,No,155,22.142857
999,05 Oct 20,male,36,,United Arab Emirates,Abu Dhabi,33,16,40,5,2,4,5,3,2,1,Disagree,Agree,Agree,Disagree,Rarely,Often,Rarely,No,No,30 Mar 21,31,57,44,Excellent,Very good,Excellent,Very good,4,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Never,No,No,Yes,Yes,No,36,Yes,Yes,No,176,25.142857
1371,05 Oct 20,female,35,,India,Al Ain,63,72,77,3,2,2,2,2,2,3,Disagree,Disagree,Strongly agree,Disagree,Sometimes,Sometimes,Sometimes,No,Yes,24 Feb 21,23,12,0,Very good,Good,Very good,Very good,4,3,3,Agree,Disagree,Agree,Disagree,Never,Never,Sometimes,Yes,No,Yes,No,No,35,No,No,No,142,20.285715
302,24 Sep 20,female,35,6.Bachelors Degree,United Arab Emirates,Al Ain,30,48,68,4,4,3,1,1,1,1,Strongly agree,Agree,Disagree,Agree,Rarely,Rarely,Never,No,No,21 Feb 21,50,30,50,Good,Good,Good,Fair,1,2,2,Strongly agree,Disagree,Disagree,Agree,Often,Often,All the time,No,No,No,No,Yes,35,No,Yes,No,150,21.428572
1135,15 Oct 20,female,,,United Arab Emirates,Abu Dhabi,40,30,40,4,4,4,4,4,4,3,Agree,Disagree,Agree,Disagree,Rarely,Never,Never,No,No,28 Feb 21,60,40,61,Very good,Very good,Good,Excellent,5,5,3,Disagree,Disagree,Disagree,Disagree,Never,Never,Rarely,No,No,Yes,No,No,34.541817,Yes,Yes,No,136,19.428572
312,10 Sep 20,female,37,8.Doctorate‎/PhD,United Arab Emirates,Al Ain,47,25,50,4,5,4,4,4,2,3,Disagree,Disagree,Agree,Disagree,Never,Never,Never,No,No,14 Feb 21,,,,,,,,,,,,,,,,,,,,,No,Yes,37,No,Yes,No,157,22.428572
383,18 Oct 20,female,33,,Yemen,Abu Dhabi,0,1,1,5,3,5,5,3,3,3,Strongly disagree,Disagree,Strongly disagree,Disagree,Never,Never,Never,No,No,30 Mar 21,50,58,46,Very good,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Never,Never,No,No,No,No,No,33,Yes,No,No,163,23.285715
1416,24 Sep 20,male,38,4.College,United Arab Emirates,Al Ain,40,81,30,3,4,3,3,1,2,3,Agree,Agree,Agree,Agree,Never,Never,Rarely,No,No,31 Mar 21,35,20,35,Very good,Very good,Very good,Very good,3,4,5,Disagree,Disagree,Disagree,Disagree,Never,Sometimes,Rarely,No,No,Yes,Yes,No,38,No,Yes,No,188,26.857143
518,10 Sep 20,female,42,6.Bachelors Degree,Egypt,Abu Dhabi,48,38,7,3,2,3,4,2,2,3,Agree,Agree,Strongly agree,Agree,Often,Often,Rarely,No,Yes,14 Feb 21,53,80,58,Good,Fair,Good,Very good,2,3,3,Agree,Agree,Agree,Agree,Sometimes,Rarely,Sometimes,No,Yes,No,No,Yes,42,Yes,No,No,157,22.428572
306,17 Oct 20,female,42,,Egypt,Abu Dhabi,60,100,73,1,1,1,1,1,1,1,Disagree,Disagree,Disagree,Agree,Sometimes,Often,Sometimes,Yes,Yes,17 Mar 21,0,100,100,Poor,Poor,Poor,Poor,1,3,2,Agree,Disagree,Disagree,Strongly agree,Sometimes,Rarely,Sometimes,Yes,Yes,No,No,No,42,Yes,No,Yes,151,21.571428
278,15 Oct 20,female,28,,India,Abu Dhabi,20,21,18,4,3,3,3,2,2,3,Agree,Disagree,Disagree,Agree,Rarely,Never,Never,No,No,31 Mar 21,98,96,100,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Often,Often,No,No,No,No,No,28,Yes,No,No,167,23.857143
1287,24 Oct 20,prefer not to answer,33,,United Arab Emirates,Al Ain,50,70,70,2,1,2,5,2,2,2,Strongly disagree,Strongly disagree,Agree,Strongly agree,Sometimes,Sometimes,Rarely,No,Yes,27 Feb 21,51,66,50,Very good,Fair,Good,Very good,3,3,3,Agree,Agree,Agree,Strongly agree,Sometimes,Often,Sometimes,No,No,No,No,No,33,No,Yes,No,126,18
258,10 Oct 20,female,35,9.other,Palestine,,1,69,0,3,2,3,3,3,3,3,Disagree,Agree,Disagree,Disagree,Rarely,Never,Rarely,No,No,25 Mar 21,11,44,10,Very good,Good,Very good,Very good,4,4,3,Agree,Disagree,Agree,Agree,Sometimes,Rarely,Never,No,No,No,No,No,35,No,No,No,166,23.714285
226,19 Oct 20,male,42,3.High School,United Arab Emirates,Abu Dhabi,,,,4,3,3,4,3,4,4,Agree,Disagree,Agree,Disagree,Rarely,Often,Never,No,No,21 Mar 21,50,0,50,Good,Good,Good,Excellent,5,3,3,Disagree,Strongly disagree,Disagree,Disagree,Rarely,Often,Never,No,No,No,Yes,No,42,Yes,Yes,No,153,21.857143
